song,artist,name,knowledge,year,year_dec
Wake Me Up!,Avicii,M,singing the lyrics,2013,2010
Airplanes,B.o.B Featuring Hayley Williams,M,singing the lyrics,2010,2010
OMG,Usher Featuring will.i.am,M,singing the lyrics,2010,2010
Talk Dirty,Jason Derulo Featuring 2 Chainz,M,singing the lyrics,2014,2010
F**kin' Perfect,P!nk,M,singing the lyrics,2011,2010
Hooked On A Feeling,Blue Swede,M,singing the lyrics,1974,1970
You Give Love A Bad Name,Bon Jovi,M,singing the lyrics,1986,1980
Africa,Toto,M,singing the lyrics,1983,1980
Thriller,Michael Jackson,M,singing the lyrics,1984,1980
All You Need Is Love,"Beatles, The",M,singing the lyrics,1967,1960
