UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2019,12,19,"Percy Jackson & the Olympians. Book four, The battle of the Labyrinth : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Orpheus Collar and Antoine Dodé ; lettering by Chris Dickey.","Riordan, Rick","Riordan Rick Battle of the Labyrinth Adaptations, Mythology Greek Comic books strips etc, Labyrinths Comic books strips etc, Camps Comic books strips etc, Monsters Comic books strips etc, Animals Mythical Comic books strips etc, Titans Mythology Comic books strips etc, Comics adaptations, Graphic novels","Disney-Hyperion,",2018.
Digital,OverDrive,EBOOK,2019,12,2,"The Staff of Serapis: Percy Jackson & The Kane Chronicles Crossover Series, Book 2",Rick Riordan,"Fantasy, Mythology, Short Stories, Young Adult Fiction",Disney Digital Books,2016
Physical,Horizon,BOOK,2019,12,14,The lightning thief / Rick Riordan ; illustrated by John Rocco.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Zeus Greek deity Juvenile fiction, Poseidon Greek deity Juvenile fiction, Mythology Greek Juvenile fiction, Camps Juvenile fiction, Fathers and sons Juvenile fiction, Fantasy fiction","Disney/Hyperion,",2018.
Physical,Horizon,BOOK,2019,12,25,"Percy Jackson & the Olympians. Book five, The last Olympian : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Orpheus Collar and Antoine Dodé ; lettering by Chris Dickey.","Riordan, Rick","Jackson Percy Fictitious character Comic books strips etc, Mythology Greek Comic books strips etc, Fate and fatalism Comic books strips etc, Monsters Comic books strips etc, Animals Mythical Comic books strips etc, Titans Mythology Comic books strips etc, Cartoons and comics, Comics adaptations, Graphic novels","Disney-Hyperion,",2019.
Digital,OverDrive,EBOOK,2019,12,4,Demigods and Monsters: Your Favorite Authors on Rick Riordan's Percy Jackson and the Olympians Series,Rick Riordan,"Essays, Juvenile Nonfiction, Literary Criticism",Lightning Source Inc,2013
Digital,OverDrive,EBOOK,2019,12,15,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5",Rick Riordan,"Juvenile Fiction, Mythology",Disney Digital Books,2011
Physical,Horizon,BOOK,2019,12,1,Demigods and monsters : your favorite authors on Rick Riordan's Percy Jackson and the Olympians series / edited and original introduction by Rick Riordan ; with Leah Wilson.,,"Riordan Rick Percy Jackson the Olympians Criticism and interpretation Juvenile literature, Childrens stories American History and criticism Juvenile literature, Fantasy fiction American History and criticism Juvenile literature","Smart Pop, an imprint of BenBella Books, Inc.,",[2013]
Physical,Horizon,SOUNDDISC,2019,12,1,The sea of monsters / Rick Riordan.,"Riordan, Rick","Zeus Greek deity Juvenile fiction, Jackson Percy Fictitious character Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Identity Philosophical concept Juvenile fiction, Monsters Juvenile fiction, Camps Juvenile fiction, Friendship Juvenile fiction, Fathers and sons Juvenile fiction, Poseidon Greek deity Juvenile fiction, Voyages and travels Juvenile fiction, Identity Fiction, Fantasy, Mythological fiction","Listening Library ; Distributed by Recorded Books,",[2006]
Physical,Horizon,SOUNDDISC,2019,12,2,The demigod diaries / Rick Riordan.,"Riordan, Rick","Jackson Percy Fictitious character Juvenile fiction, Mythology Roman Juvenile fiction, Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Diaries Fiction, Mythological fiction","Listening Library/Random House Audio,",[2012]
Digital,OverDrive,EBOOK,2019,12,9,"Battle of the Labyrinth: Percy Jackson and the Olympians Graphic Novel Series, Book 4",Rick Riordan,"Comic and Graphic Books, Juvenile Fiction, Juvenile Literature, Mythology",Disney Digital Books,2018
